city,tribe
南投縣,中原部落
南投縣,久美部落
南投縣,人倫部落
南投縣,卡度部落
南投縣,史努櫻部落
南投縣,希哪巴瀾部落
南投縣,廬山部落
南投縣,新望洋部落
南投縣,望鄉部落
南投縣,武界部落
南投縣,清流部落
南投縣,眉溪部落
南投縣,萬豐部落
南投縣,親愛部落
南投縣,豐丘部落
南投縣,達瑪巒部落
南投縣,雙龍部落
嘉義縣,來吉部落
嘉義縣,山美部落
嘉義縣,新美部落
嘉義縣,樂野部落
嘉義縣,特富野部落
嘉義縣,茶山部落
嘉義縣,達邦部落
嘉義縣,里佳部落
宜蘭縣,南山部落
宜蘭縣,四季部落
宜蘭縣,寒溪巷部落
宜蘭縣,崙埤部落
宜蘭縣,比亞豪部落
宜蘭縣,碼崙部落
宜蘭縣,金岳部落
屏東縣,七佳部落
屏東縣,三和部落
屏東縣,三地部落
屏東縣,下草埔部落
屏東縣,佳平部落
屏東縣,佳義部落
屏東縣,來義部落
屏東縣,內文部落
屏東縣,北葉部落
屏東縣,口社部落
屏東縣,古華部落
屏東縣,吾拉魯滋部落
屏東縣,大梅部落
屏東縣,大社部落
屏東縣,安坡部落
屏東縣,文樂部落
屏東縣,新來義社區
屏東縣,旭海(馬查蘭)部落
屏東縣,望嘉部落
屏東縣,東源部落
屏東縣,橋西部落
屏東縣,武潭部落
屏東縣,歸崇部落
屏東縣,涼山部落
屏東縣,玉泉部落
屏東縣,石門部落
屏東縣,神山部落
屏東縣,賽嘉部落
屏東縣,達來部落
屏東縣,霧臺部落
屏東縣,青山部落
屏東縣,青葉部落
屏東縣,高士部落
屏東縣,高見部落
新北市,信賢部落
新北市,原民會辦公室
新北市,忠治(桶壁)部落
新北市,烏來部落
新北市,福山部落
新竹縣,五峰部落
新竹縣,桃山部落
新竹縣,梅達拜部落
新竹縣,梅阿尤達克部落
新竹縣,泰崗部落
新竹縣,清泉部落
新竹縣,花園部落
新竹縣,馬里光部落
桃園市,上巴陵部落
桃園市,中奎輝部落
桃園市,卡拉部落
桃園市,哈嘎灣部落
桃園市,基國派部落
桃園市,後光華部落
桃園市,武道能敢部落
桃園市,比亞外部落
桃園市,爺亨部落
桃園市,砂崙子部落
桃園市,竹頭角部落
桃園市,羅浮部落
桃園市,雪霧鬧部落
臺中市,南勢部落
臺中市,松茂部落
臺中市,松鶴部落
臺中市,裡冷部落
臺中縣,雙崎部落
臺東縣,佳尼發納部落
臺東縣,僅那鹿角部落
臺東縣,八嗡嗡部落
臺東縣,初鹿部落
臺東縣,利嘉部落
臺東縣,利稻部落
臺東縣,加和部落
臺東縣,包霧目力部落
臺東縣,卡多部落
臺東縣,卡拿吾部部落
臺東縣,卡阿魯彎部落
臺東縣,古庄部落
臺東縣,台?部落
臺東縣,土?部落
臺東縣,大巴六九部落
臺東縣,大武部落
臺東縣,大竹工作地部落
臺東縣,大鳥部落
臺東縣,安朔部落
臺東縣,宜灣部落
臺東縣,小港部落
臺東縣,崁頂部落
臺東縣,巴喜告部落
臺東縣,巴布麓部落
臺東縣,巴阿尼豐部落
臺東縣,布谷拉夫部落
臺東縣,德高部落
臺東縣,成功和平部落
臺東縣,拉勞蘭部落
臺東縣,拉里巴部落
臺東縣,拿卡努部落
臺東縣,新武部落
臺東縣,新福部落
臺東縣,朗島部落
臺東縣,東清部落
臺東縣,查拉密部落
臺東縣,森永部落
臺東縣,椰油部落
臺東縣,樟原部落
臺東縣,比西里岸部落
臺東縣,民豐部落
臺東縣,沙薩拉克部落
臺東縣,漁人部落
臺東縣,烏石鼻部落
臺東縣,瑞興部落
臺東縣,瓦岡岸部落
臺東縣,發富谷部落
臺東縣,真柄部落
臺東縣,石山部落
臺東縣,紅頭部落
臺東縣,美山部落
臺東縣,芝田部落
臺東縣,荒野部落
臺東縣,莿桐部落
臺東縣,賓茂部落
臺東縣,都歷部落
臺東縣,重安部落
臺東縣,野銀部落
臺東縣,金崙部落
臺東縣,錦屏部落
臺東縣,長光(石坑)部落
臺東縣,開元港部落
臺東縣,阿度蘭部落
臺東縣,阿拉巴灣部落
臺東縣,陸安部落
臺東縣,電光部落
臺東縣,霧鹿部落
臺東縣,馬蘭部落
臺東縣,鹿野和平部落
臺東縣,麒麟部落
臺東縣,麻荖漏部落
花蓮縣,中平部落
花蓮縣,中興部落
花蓮縣,光復產業中心
花蓮縣,光復鄉公所
花蓮縣,克奧灣部落
花蓮縣,克尼布部落
花蓮縣,卓溪鄉公所
花蓮縣,南華部落
花蓮縣,古村部落
花蓮縣,台灣原住民文化館
花蓮縣,吉安鄉公所
花蓮縣,吉安鄉阿美族文物館
花蓮縣,吉拉米代部落
花蓮縣,哈拉灣部落
花蓮縣,四維分校/吉拉米代部落
花蓮縣,固努安部落
花蓮縣,固祿部落
花蓮縣,壽豐鄉公所
花蓮縣,壽豐鄉原住民文物館
花蓮縣,大馬遠部落
花蓮縣,太巴塱部落
花蓮縣,太平部落
花蓮縣,奇美部落
花蓮縣,奇美部落原住民文物館
花蓮縣,姆拉丁部落
花蓮縣,安通部落
花蓮縣,富里鄉公所
花蓮縣,小台東部落
花蓮縣,屋拉力部落
花蓮縣,山海劇場
花蓮縣,山興部落
花蓮縣,山里部落
花蓮縣,崙天部落
花蓮縣,崙山部落
花蓮縣,布拉旦部落
花蓮縣,康樂部落
花蓮縣,得吉利部落
花蓮縣,拉基禾幹部落
花蓮縣,摩里莎卡部落
花蓮縣,撤固兒部落
花蓮縣,支亞干部落
花蓮縣,文蘭部落
花蓮縣,新城部落
花蓮縣,新城鄉公所
花蓮縣,新社部落
花蓮縣,春日部落
花蓮縣,東光部落
花蓮縣,東大門
花蓮縣,東昌部落
花蓮縣,格督尚部落
花蓮縣,梧繞部落
花蓮縣,水源部落
花蓮縣,水璉-蕃薯寮
花蓮縣,水璉部落
花蓮縣,池南部落
花蓮縣,法淖部落
花蓮縣,洛合谷部落
花蓮縣,清水部落
花蓮縣,港口部落
花蓮縣,溪口部落
花蓮縣,滿自然部落
花蓮縣,牧魯棧部落
花蓮縣,玉里部落
花蓮縣,玉里鎮公所
花蓮縣,瑞穗鄉公所
花蓮縣,瑪谷達璦部落
花蓮縣,白端部落
花蓮縣,石梯坪部落
花蓮縣,砂荖部落
花蓮縣,磯崎部落
花蓮縣,磯崎高山森林基地
花蓮縣,秀林米亞丸部落
花蓮縣,秀林部落
花蓮縣,秀林鄉公所
花蓮縣,紅葉部落
花蓮縣,花縣萬榮國小行政大樓中間二樓柱子
花蓮縣,花蓮市公所
花蓮縣,花蓮縣政府
花蓮縣,苓雅仔部落
花蓮縣,華東部落
花蓮縣,萬榮鄉公所
花蓮縣,萬榮鄉原住民文物館
花蓮縣,豐濱部落
花蓮縣,豐濱鄉公所
花蓮縣,豐羽計畫
花蓮縣,達蘭埠部落
花蓮縣,都旮薾部落
花蓮縣,重光部落
花蓮縣,阿陶莫-加里洞
花蓮縣,阿陶莫部落
花蓮縣,阿飛赫部落
花蓮縣,靜浦部落
花蓮縣,馬佛部落
花蓮縣,馬太林部落
花蓮縣,馬太鞍部落
花蓮縣,鯉魚潭
花蓮縣,鳳信部落
花蓮縣,鳳林鎮公所
苗栗縣,司馬限部落
苗栗縣,圓墩部落
苗栗縣,天狗部落
苗栗縣,斯瓦細格部落
苗栗縣,瓦祿部落
苗栗縣,細道邦部落
苗栗縣,馬那邦部落
高雄市,多納部落
高雄市,瑪雅部落
高雄市,達卡努瓦部落
高雄市,高中部落
高雄縣,建山部落
高雄縣,茂林部落
